#   T/MeV           Nceff           geff            heff            c_s^2
    0.400000E+04    0.288220E+01    0.836654E+02    0.834256E+02    0.331018E+00
    0.367854E+04    0.287907E+01    0.835422E+02    0.832689E+02    0.330678E+00
    0.338292E+04    0.287560E+01    0.834004E+02    0.830892E+02    0.330285E+00
    0.311105E+04    0.287173E+01    0.832369E+02    0.828830E+02    0.329832E+00
    0.286103E+04    0.286740E+01    0.830479E+02    0.826465E+02    0.329313E+00
    0.263110E+04    0.286254E+01    0.828295E+02    0.823753E+02    0.328718E+00
    0.241965E+04    0.285707E+01    0.825770E+02    0.820645E+02    0.328040E+00
    0.222520E+04    0.285089E+01    0.822850E+02    0.817089E+02    0.327270E+00
    0.204637E+04    0.284390E+01    0.819479E+02    0.813027E+02    0.326400E+00
    0.188191E+04    0.283596E+01    0.815591E+02    0.808397E+02    0.325423E+00
    0.173068E+04    0.282692E+01    0.811120E+02    0.803138E+02    0.324333E+00
    0.159159E+04    0.281661E+01    0.805994E+02    0.797184E+02    0.323128E+00
    0.146368E+04    0.280481E+01    0.800141E+02    0.790472E+02    0.321807E+00
    0.134605E+04    0.279130E+01    0.793488E+02    0.782942E+02    0.320372E+00
    0.123788E+04    0.277581E+01    0.785969E+02    0.774542E+02    0.318831E+00
    0.113840E+04    0.275803E+01    0.777527E+02    0.765227E+02    0.317194E+00
    0.104691E+04    0.273764E+01    0.768114E+02    0.754970E+02    0.315481E+00
    0.962774E+03    0.271426E+01    0.757700E+02    0.743754E+02    0.313709E+00
    0.885401E+03    0.268751E+01    0.746278E+02    0.731587E+02    0.311896E+00
    0.814246E+03    0.265699E+01    0.733858E+02    0.718494E+02    0.310078E+00
    0.748809E+03    0.262232E+01    0.720481E+02    0.704523E+02    0.308281E+00
    0.688631E+03    0.258314E+01    0.706212E+02    0.689744E+02    0.306536E+00
    0.633289E+03    0.253919E+01    0.691145E+02    0.674250E+02    0.304874E+00
    0.582395E+03    0.249029E+01    0.675401E+02    0.658149E+02    0.303327E+00
    0.535591E+03    0.243645E+01    0.659130E+02    0.641571E+02    0.301927E+00
    0.492548E+03    0.237783E+01    0.642509E+02    0.624655E+02    0.300703E+00
    0.452965E+03    0.231482E+01    0.625742E+02    0.607552E+02    0.299677E+00
    0.416562E+03    0.224798E+01    0.609051E+02    0.590409E+02    0.298893E+00
    0.383085E+03    0.217796E+01    0.592662E+02    0.573353E+02    0.298190E+00
    0.352299E+03    0.210541E+01    0.576792E+02    0.556480E+02    0.297650E+00
    0.323986E+03    0.203079E+01    0.561612E+02    0.539815E+02    0.297044E+00
    0.297949E+03    0.195424E+01    0.547239E+02    0.523304E+02    0.287591E+00
    0.274005E+03    0.187602E+01    0.533861E+02    0.506904E+02    0.293970E+00
    0.251984E+03    0.179342E+01    0.520965E+02    0.489998E+02    0.291946E+00
    0.231734E+03    0.170468E+01    0.508359E+02    0.472159E+02    0.287420E+00
    0.213110E+03    0.159368E+01    0.492270E+02    0.450196E+02    0.261882E+00
    0.195984E+03    0.136826E+01    0.448210E+02    0.406225E+02    0.211925E+00
    0.180234E+03    0.100416E+01    0.366432E+02    0.335506E+02    0.189081E+00
    0.165749E+03    0.726878E+00    0.303234E+02    0.281601E+02    0.203429E+00
    0.152429E+03    0.532502E+00    0.258763E+02    0.243709E+02    0.220871E+00
    0.140179E+03    0.400029E+00    0.228432E+02    0.217767E+02    0.239754E+00
    0.128913E+03    0.309572E+00    0.207674E+02    0.199908E+02    0.257532E+00
    0.118553E+03    0.247373E+00    0.193338E+02    0.187459E+02    0.273003E+00
    0.109026E+03    0.203993E+00    0.183256E+02    0.178583E+02    0.285367E+00
    0.100264E+03    0.173035E+00    0.175953E+02    0.172034E+02    0.294566E+00
    0.922062E+02    0.150245E+00    0.170444E+02    0.166979E+02    0.300988E+00
    0.847960E+02    0.132817E+00    0.166074E+02    0.162866E+02    0.305179E+00
    0.779814E+02    0.118897E+00    0.162406E+02    0.159327E+02    0.307659E+00
    0.717144E+02    0.107254E+00    0.159147E+02    0.156116E+02    0.308865E+00
    0.659511E+02    0.970644E-01    0.156094E+02    0.153066E+02    0.309141E+00
    0.606510E+02    0.877822E-01    0.153111E+02    0.150065E+02    0.308759E+00
    0.557768E+02    0.790535E-01    0.150106E+02    0.147043E+02    0.307943E+00
    0.512943E+02    0.706656E-01    0.147023E+02    0.143961E+02    0.306884E+00
    0.471720E+02    0.625134E-01    0.143836E+02    0.140804E+02    0.305753E+00
    0.433810E+02    0.545750E-01    0.140542E+02    0.137580E+02    0.304709E+00
    0.398947E+02    0.468915E-01    0.137165E+02    0.134315E+02    0.303898E+00
    0.366886E+02    0.395479E-01    0.133743E+02    0.131052E+02    0.303450E+00
    0.337401E+02    0.326534E-01    0.130333E+02    0.127842E+02    0.303476E+00
    0.310286E+02    0.263229E-01    0.126999E+02    0.124745E+02    0.304057E+00
    0.285350E+02    0.206591E-01    0.123811E+02    0.121820E+02    0.305238E+00
    0.262418E+02    0.157386E-01    0.120835E+02    0.119122E+02    0.307020E+00
    0.241329E+02    0.116014E-01    0.118132E+02    0.116699E+02    0.309353E+00
